"Año";"Periodo";"Casos de coronavirus"
"2020";"Día 25 de julio";"429"
"2020";"Día 26 de julio";"409"
"2020";"Día 27 de julio";"405"
"2020";"Día 28 de julio";"411"
"2020";"Día 29 de julio";"395"
"2020";"Día 30 de julio";"389"
"2020";"Día 31 de julio";"402"
"2020";"Día 1 de agosto";"418"
"2020";"Día 2 de agosto";"398"
"2020";"Día 3 de agosto";"395"
"2020";"Día 4 de agosto";"419"
"2020";"Día 5 de agosto";"439"
"2020";"Día 6 de agosto";"425"
"2020";"Día 7 de agosto";"418"
"2020";"Día 8 de agosto";"434"
"2020";"Día 9 de agosto";"445"
"2020";"Día 10 de agosto";"449"
"2020";"Día 11 de agosto";"397"
"2020";"Día 12 de agosto";"375"
"2020";"Día 13 de agosto";"349"
"2020";"Día 14 de agosto";"321"
"2020";"Día 15 de agosto";"305"
"2020";"Día 16 de agosto";"293"
"2020";"Día 17 de agosto";"281"
"2020";"Día 18 de agosto";"269"
"2020";"Día 19 de agosto";"255"
"2020";"Día 20 de agosto";"247"
"2020";"Día 21 de agosto";"236"
"2020";"Día 22 de agosto";"220"
"2020";"Día 23 de agosto";"202"
"2020";"Día 24 de agosto";"189"
"2020";"Día 25 de agosto";"175"
"2020";"Día 26 de agosto";"154"
"2020";"Día 27 de agosto";"144"
"2020";"Día 28 de agosto";"131"
"2020";"Día 29 de agosto";"122"
"2020";"Día 30 de agosto";"98"
"2020";"Día 31 de agosto";"94"
"2020";"Día 1 de septiembre";"91"
"2020";"Día 2 de septiembre";"84"
"2020";"Día 3 de septiembre";"96"
"2020";"Día 4 de septiembre";"99"
"2020";"Día 5 de septiembre";"107"
"2020";"Día 6 de septiembre";"102"
"2020";"Día 7 de septiembre";"105"
"2020";"Día 8 de septiembre";"98"
"2020";"Día 9 de septiembre";"91"
"2020";"Día 10 de septiembre";"86"
"2020";"Día 11 de septiembre";"85"
"2020";"Día 12 de septiembre";"78"
"2020";"Día 13 de septiembre";"77"
"2020";"Día 14 de septiembre";"81"
"2020";"Día 15 de septiembre";"79"
"2020";"Día 16 de septiembre";"75"
"2020";"Día 17 de septiembre";"86"
"2020";"Día 18 de septiembre";"97"
"2020";"Día 19 de septiembre";"82"
"2020";"Día 20 de septiembre";"125"
"2020";"Día 21 de septiembre";"245"
"2020";"Día 22 de septiembre";"156"
"2020";"Día 23 de septiembre";"0"
"2020";"Día 24 de septiembre";"247"
"2020";"Día 25 de septiembre";"214"
"2020";"Día 26 de septiembre";"0"
"2020";"Día 27 de septiembre";"215"
"2020";"Día 28 de septiembre";"179"
"2020";"Día 29 de septiembre";"172"
"2020";"Día 30 de septiembre";"96"
"2020";"Día 1 de octubre";"98"
"2020";"Día 2 de octubre";"0"
"2020";"Día 3 de octubre";"183"
"2020";"Día 4 de octubre";"92"
"2020";"Día 5 de octubre";"89"
"2020";"Día 6 de octubre";"95"
"2020";"Día 7 de octubre";"103"
"2020";"Día 8 de octubre";"105"
"2020";"Día 9 de octubre";"109"
"2020";"Día 10 de octubre";"0"
"2020";"Día 11 de octubre";"245"
"2020";"Día 12 de octubre";"0"
"2020";"Día 13 de octubre";"284"
"2020";"Día 14 de octubre";"286"
"2020";"Día 15 de octubre";"295"
"2020";"Día 16 de octubre";"204"
"2020";"Día 17 de octubre";"191"
"2020";"Día 18 de octubre";"210"
"2020";"Día 19 de octubre";"0"
"2020";"Día 20 de octubre";"309"
"2020";"Día 21 de octubre";"145"
"2020";"Día 22 de octubre";"142"
"2020";"Día 23 de octubre";"159"
"2020";"Día 24 de octubre";"164"
"2020";"Día 25 de octubre";"0"
"2020";"Día 26 de octubre";"340"
"2020";"Día 27 de octubre";"0"
"2020";"Día 28 de octubre";"0"
"2020";"Día 29 de octubre";"520"
"2020";"Día 30 de octubre";"0"
"2020";"Día 31 de octubre";"0"
"2020";"Día 1 de noviembre";"570"
"2020";"Día 2 de noviembre";"0"
"2020";"Día 3 de noviembre";"0"
"2020";"Día 4 de noviembre";"0"
"2020";"Día 5 de noviembre";"767"
"2020";"Día 6 de noviembre";"184"
"2020";"Día 7 de noviembre";"179"
"2020";"Día 8 de noviembre";"0"
"2020";"Día 9 de noviembre";"0"
"2020";"Día 10 de noviembre";"0"
"2020";"Día 11 de noviembre";"0"
"2020";"Día 12 de noviembre";"885"
"2020";"Día 13 de noviembre";"165"
"2020";"Día 14 de noviembre";"163"
"2020";"Día 15 de noviembre";"0"
"2020";"Día 16 de noviembre";"311"
"2020";"Día 17 de noviembre";"0"
"2020";"Día 18 de noviembre";"296"
"2020";"Día 19 de noviembre";"144"
"2020";"Día 20 de noviembre";"141"
"2020";"Día 21 de noviembre";"0"
"2020";"Día 22 de noviembre";"312"
"2020";"Día 23 de noviembre";"0"
"2020";"Día 24 de noviembre";"322"
"2020";"Día 25 de noviembre";"0"
"2020";"Día 26 de noviembre";"0"
"2020";"Día 27 de noviembre";"521"
"2020";"Día 28 de noviembre";"0"
"2020";"Día 29 de noviembre";"0"
"2020";"Día 30 de noviembre";"0"
"2020";"Día 1 de diciembre";"725"
